datetime,datetime_nano,SHFE.cu2606.open,SHFE.cu2606.high,SHFE.cu2606.low,SHFE.cu2606.close,SHFE.cu2606.volume,SHFE.cu2606.open_oi,SHFE.cu2606.close_oi
2026-01-06 22:42:00.000000000,1767710520000000000,104890,104920,104850,104890,21,29125,29124
2026-01-06 22:43:00.000000000,1767710580000000000,104890,104890,104820,104880,19,29124,29124
2026-01-06 22:44:00.000000000,1767710640000000000,104880,104970,104880,104900,30,29124,29115
2026-01-06 22:45:00.000000000,1767710700000000000,104900,104990,104900,104970,33,29115,29121
2026-01-06 22:46:00.000000000,1767710760000000000,104970,104980,104910,104960,24,29121,29112
2026-01-06 22:47:00.000000000,1767710820000000000,104960,105090,104940,105070,25,29112,29111
2026-01-06 22:48:00.000000000,1767710880000000000,105070,105090,104940,105010,26,29111,29111
2026-01-06 22:49:00.000000000,1767710940000000000,105010,105040,104860,104860,18,29111,29107
2026-01-06 22:50:00.000000000,1767711000000000000,104860,104970,104860,104970,6,29107,29106
2026-01-06 22:51:00.000000000,1767711060000000000,104970,105040,104970,105040,14,29106,29110
2026-01-06 22:52:00.000000000,1767711120000000000,105040,105050,104980,105050,51,29110,29133
2026-01-06 22:53:00.000000000,1767711180000000000,105050,105050,104960,104960,16,29133,29132
2026-01-06 22:54:00.000000000,1767711240000000000,104960,105000,104960,105000,6,29132,29136
2026-01-06 22:55:00.000000000,1767711300000000000,105000,105000,104950,104950,29,29136,29147
2026-01-06 22:56:00.000000000,1767711360000000000,104950,105050,104950,104980,13,29147,29150
2026-01-06 22:57:00.000000000,1767711420000000000,104980,105010,104980,105010,4,29150,29152
2026-01-06 22:58:00.000000000,1767711480000000000,105010,105010,104960,104960,6,29152,29151
2026-01-06 22:59:00.000000000,1767711540000000000,104960,104980,104960,104960,9,29151,29144
2026-01-06 23:00:00.000000000,1767711600000000000,104960,104960,104820,104880,68,29144,29116
2026-01-06 23:01:00.000000000,1767711660000000000,104880,104980,104810,104820,21,29116,29117
2026-01-06 23:02:00.000000000,1767711720000000000,104820,104860,104690,104690,23,29117,29119
2026-01-06 23:03:00.000000000,1767711780000000000,104690,104830,104670,104830,14,29119,29117
2026-01-06 23:04:00.000000000,1767711840000000000,104830,104890,104730,104810,14,29117,29117
2026-01-06 23:05:00.000000000,1767711900000000000,104810,104820,104750,104760,13,29117,29120
2026-01-06 23:06:00.000000000,1767711960000000000,104760,104920,104760,104920,1,29120,29121
2026-01-06 23:07:00.000000000,1767712020000000000,104920,104920,104870,104870,9,29121,29120
2026-01-06 23:08:00.000000000,1767712080000000000,104870,104890,104870,104890,9,29120,29120
2026-01-06 23:09:00.000000000,1767712140000000000,104890,105020,104890,105020,14,29120,29117
2026-01-06 23:10:00.000000000,1767712200000000000,105020,105020,104970,104990,35,29117,29132
2026-01-06 23:11:00.000000000,1767712260000000000,104990,105000,104960,105000,6,29132,29130
2026-01-06 23:12:00.000000000,1767712320000000000,105000,105030,104940,104970,9,29130,29128
2026-01-06 23:13:00.000000000,1767712380000000000,104970,104990,104940,104990,20,29128,29137
2026-01-06 23:14:00.000000000,1767712440000000000,104990,104990,104950,104960,7,29137,29137
2026-01-06 23:15:00.000000000,1767712500000000000,104960,104960,104940,104960,3,29137,29136
2026-01-06 23:16:00.000000000,1767712560000000000,104960,105040,104960,105040,49,29136,29152
2026-01-06 23:17:00.000000000,1767712620000000000,105040,105100,105010,105010,29,29152,29156
2026-01-06 23:18:00.000000000,1767712680000000000,105010,105030,104990,105030,8,29156,29159
2026-01-06 23:19:00.000000000,1767712740000000000,105030,105030,105000,105030,26,29159,29169
2026-01-06 23:20:00.000000000,1767712800000000000,105030,105030,104900,104960,15,29169,29168
2026-01-06 23:21:00.000000000,1767712860000000000,104960,104980,104930,104980,8,29168,29169
2026-01-06 23:22:00.000000000,1767712920000000000,104980,105020,104960,105020,7,29169,29171
2026-01-06 23:23:00.000000000,1767712980000000000,105020,105020,105020,105020,0,29171,29171
2026-01-06 23:24:00.000000000,1767713040000000000,105020,105030,104980,104980,2,29171,29170
2026-01-06 23:25:00.000000000,1767713100000000000,104980,105010,104980,105010,6,29170,29173
2026-01-06 23:26:00.000000000,1767713160000000000,105010,105120,105010,105120,14,29173,29173
2026-01-06 23:27:00.000000000,1767713220000000000,105120,105160,105080,105160,8,29173,29171
2026-01-06 23:28:00.000000000,1767713280000000000,105160,105160,105140,105160,5,29171,29171
2026-01-06 23:29:00.000000000,1767713340000000000,105160,105220,105160,105220,20,29171,29173
2026-01-06 23:30:00.000000000,1767713400000000000,105220,105220,105100,105100,29,29173,29176
2026-01-06 23:31:00.000000000,1767713460000000000,105100,105100,105010,105010,24,29176,29176
2026-01-06 23:32:00.000000000,1767713520000000000,105010,105030,105000,105020,11,29176,29177
2026-01-06 23:33:00.000000000,1767713580000000000,105020,105050,104790,104790,64,29177,29191
2026-01-06 23:34:00.000000000,1767713640000000000,104790,104870,104670,104870,34,29191,29184
2026-01-06 23:35:00.000000000,1767713700000000000,104870,104880,104820,104820,13,29184,29184
2026-01-06 23:36:00.000000000,1767713760000000000,104820,104830,104710,104710,45,29184,29199
2026-01-06 23:37:00.000000000,1767713820000000000,104710,104720,104500,104520,76,29199,29199
2026-01-06 23:38:00.000000000,1767713880000000000,104520,104710,104520,104690,25,29199,29199
2026-01-06 23:39:00.000000000,1767713940000000000,104690,104820,104680,104760,30,29199,29210
2026-01-06 23:40:00.000000000,1767714000000000000,104760,104810,104760,104810,12,29210,29210
2026-01-06 23:41:00.000000000,1767714060000000000,104810,104870,104800,104840,21,29210,29211
2026-01-06 23:42:00.000000000,1767714120000000000,104840,104870,104830,104870,5,29211,29214
2026-01-06 23:43:00.000000000,1767714180000000000,104870,104870,104820,104850,13,29214,29216
2026-01-06 23:44:00.000000000,1767714240000000000,104850,104850,104820,104830,11,29216,29216
2026-01-06 23:45:00.000000000,1767714300000000000,104830,104830,104740,104780,9,29216,29217
2026-01-06 23:46:00.000000000,1767714360000000000,104780,104830,104760,104830,2,29217,29217
2026-01-06 23:47:00.000000000,1767714420000000000,104830,104870,104790,104870,6,29217,29216
2026-01-06 23:48:00.000000000,1767714480000000000,104870,104930,104870,104910,6,29216,29215
2026-01-06 23:49:00.000000000,1767714540000000000,104910,104910,104880,104880,4,29215,29218
2026-01-06 23:50:00.000000000,1767714600000000000,104880,104880,104810,104810,6,29218,29219
2026-01-06 23:51:00.000000000,1767714660000000000,104810,104880,104810,104860,6,29219,29219
2026-01-06 23:52:00.000000000,1767714720000000000,104860,104860,104760,104770,15,29219,29226
2026-01-06 23:53:00.000000000,1767714780000000000,104770,104840,104770,104840,5,29226,29227
2026-01-06 23:54:00.000000000,1767714840000000000,104840,104840,104770,104840,9,29227,29230
2026-01-06 23:55:00.000000000,1767714900000000000,104840,104840,104730,104770,4,29230,29228
2026-01-06 23:56:00.000000000,1767714960000000000,104770,104770,104700,104700,63,29228,29215
2026-01-06 23:57:00.000000000,1767715020000000000,104700,104860,104700,104860,17,29215,29218
