datetime,datetime_nano,SHFE.ni2607.open,SHFE.ni2607.high,SHFE.ni2607.low,SHFE.ni2607.close,SHFE.ni2607.volume,SHFE.ni2607.open_oi,SHFE.ni2607.close_oi
2026-01-06 14:35:00.000000000,1767681300000000000,141030,141030,140830,140860,6,2298,2301
2026-01-06 14:36:00.000000000,1767681360000000000,140860,140860,140860,140860,0,2301,2301
2026-01-06 14:37:00.000000000,1767681420000000000,140860,140860,140860,140860,0,2301,2301
2026-01-06 14:38:00.000000000,1767681480000000000,140860,140860,140820,140820,1,2301,2301
2026-01-06 14:39:00.000000000,1767681540000000000,140820,140850,140750,140820,17,2301,2299
2026-01-06 14:40:00.000000000,1767681600000000000,140820,140820,140570,140640,10,2299,2303
2026-01-06 14:41:00.000000000,1767681660000000000,140640,140760,140640,140760,1,2303,2303
2026-01-06 14:42:00.000000000,1767681720000000000,140760,140760,140760,140760,0,2303,2303
2026-01-06 14:43:00.000000000,1767681780000000000,140760,140760,140760,140760,0,2303,2303
2026-01-06 14:44:00.000000000,1767681840000000000,140760,140760,140760,140760,0,2303,2303
2026-01-06 14:45:00.000000000,1767681900000000000,140760,140760,140760,140760,0,2303,2303
2026-01-06 14:46:00.000000000,1767681960000000000,140760,140900,140760,140900,2,2303,2302
2026-01-06 14:47:00.000000000,1767682020000000000,140900,140900,140900,140900,0,2302,2302
2026-01-06 14:48:00.000000000,1767682080000000000,140900,140920,140900,140920,1,2302,2303
2026-01-06 14:49:00.000000000,1767682140000000000,140920,140920,140920,140920,0,2303,2303
2026-01-06 14:50:00.000000000,1767682200000000000,140920,140920,140920,140920,0,2303,2303
2026-01-06 14:51:00.000000000,1767682260000000000,140920,140930,140880,140890,12,2303,2307
2026-01-06 14:52:00.000000000,1767682320000000000,140890,140890,140890,140890,4,2307,2310
2026-01-06 14:53:00.000000000,1767682380000000000,140890,140890,140890,140890,0,2310,2310
2026-01-06 14:54:00.000000000,1767682440000000000,140890,140900,140890,140900,8,2310,2318
2026-01-06 14:55:00.000000000,1767682500000000000,140900,140960,140840,140960,10,2318,2316
2026-01-06 14:56:00.000000000,1767682560000000000,140960,140960,140890,140890,1,2316,2315
2026-01-06 14:57:00.000000000,1767682620000000000,140890,140890,140890,140890,0,2315,2315
2026-01-06 14:58:00.000000000,1767682680000000000,140890,141140,140890,141140,3,2315,2315
2026-01-06 14:59:00.000000000,1767682740000000000,141140,141140,141120,141120,3,2315,2312
2026-01-06 21:00:00.000000000,1767704400000000000,142020,144910,142020,144520,70,2312,2314
2026-01-06 21:01:00.000000000,1767704460000000000,144520,144700,144360,144650,30,2314,2313
2026-01-06 21:02:00.000000000,1767704520000000000,144650,144750,144190,144190,15,2313,2314
2026-01-06 21:03:00.000000000,1767704580000000000,144190,144380,144030,144380,29,2314,2306
